Matrix millisec_spmv
bcircuit 0.008977
bcsstk17 0.007560
Bump_2911 1.227149
cell2 0.005084
ch7-8-b2 0.003955
circuit_1 0.015430
coater2 0.005917
cryg10000 0.005135
ex35 0.006405
fe_body 0.007125
fxm3_16 0.010500
G62 0.004886
garon2 0.008292
gyro_m 0.009925
inlet 0.007395
lhr14 0.008590
lp_nug12 0.004993
lshp3025 0.005025
mk10-b2 0.005007
n4c6-b5 0.007220
nemeth13 0.007587
OPF_6000 0.008013
reorientation_3 0.016640
rosen10 0.017135
spaceShuttleEntry_4 0.016634
std1_Jac2_db 0.012303
tols2000 0.007027
TSOPF_RS_b162_c3 0.009686
